2016-05-26 21:56:00,609 [MainThread:6912] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-05-26 21:56:17,638 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-05-26 21:56:17,671 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-05-26 21:56:17,674 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2016-05-26 21:56:17,678 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-05-26 21:56:17,694 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params None)
2016-05-26 21:56:17,726 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.027) CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); args=None
2016-05-26 21:56:17,732 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
2016-05-26 21:56:17,737 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_76bd3d3b_uniq` UNIQUE (`app_label`, `model`); (params [])
2016-05-26 21:56:17,782 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.039) ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_76bd3d3b_uniq` UNIQUE (`app_label`, `model`); args=[]
2016-05-26 21:56:17,786 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2016-05-26 21:56:17,792 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('contenttypes', '0001_initial', '2016-05-26 13:56:17'); args=['contenttypes', u'0001_initial', u'2016-05-26 13:56:17']
2016-05-26 21:56:17,805 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL); (params None)
2016-05-26 21:56:17,815 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.004) CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL); args=None
2016-05-26 21:56:17,826 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=[u'auth_permission']
2016-05-26 21:56:17,835 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); (params None)
2016-05-26 21:56:17,842 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.005) CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); args=None
2016-05-26 21:56:17,848 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group'; args=[u'auth_group']
2016-05-26 21:56:17,851 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- CREATE TABLE `auth_group_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `group_id` integer NOT NULL, `permission_id` integer NOT NULL); (params None)
2016-05-26 21:56:17,859 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.004) CREATE TABLE `auth_group_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `group_id` integer NOT NULL, `permission_id` integer NOT NULL); args=None
2016-05-26 21:56:17,865 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group_permissions'; args=[u'auth_group_permissions']
2016-05-26 21:56:17,878 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- CREATE TABLE `auth_user` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `password` varchar(128) NOT NULL, `last_login` datetime NOT NULL, `is_superuser` bool NOT NULL, `username` varchar(30) NOT NULL UNIQUE, `first_name` varchar(30) NOT NULL, `last_name` varchar(30) NOT NULL, `email` varchar(75) NOT NULL, `is_staff` bool NOT NULL, `is_active` bool NOT NULL, `date_joined` datetime NOT NULL); (params None)
2016-05-26 21:56:17,898 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.013) CREATE TABLE `auth_user` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `password` varchar(128) NOT NULL, `last_login` datetime NOT NULL, `is_superuser` bool NOT NULL, `username` varchar(30) NOT NULL UNIQUE, `first_name` varchar(30) NOT NULL, `last_name` varchar(30) NOT NULL, `email` varchar(75) NOT NULL, `is_staff` bool NOT NULL, `is_active` bool NOT NULL, `date_joined` datetime NOT NULL); args=None
2016-05-26 21:56:17,907 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user'; args=[u'auth_user']
2016-05-26 21:56:17,914 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- CREATE TABLE `auth_user_groups` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `group_id` integer NOT NULL); (params None)
2016-05-26 21:56:17,921 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.004) CREATE TABLE `auth_user_groups` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `group_id` integer NOT NULL); args=None
2016-05-26 21:56:17,934 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.008) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user_groups'; args=[u'auth_user_groups']
2016-05-26 21:56:17,938 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- CREATE TABLE `auth_user_user_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `permission_id` integer NOT NULL); (params None)
2016-05-26 21:56:17,947 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.005) CREATE TABLE `auth_user_user_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `permission_id` integer NOT NULL); args=None
2016-05-26 21:56:17,953 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user_user_permissions'; args=[u'auth_user_user_permissions']
2016-05-26 21:56:17,961 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `auth_permission` ADD CONSTRAINT `auth_permissi_content_type_id_2f476e4b_fk_django_content_type_id` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); (params [])
2016-05-26 21:56:17,980 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.013) ALTER TABLE `auth_permission` ADD CONSTRAINT `auth_permissi_content_type_id_2f476e4b_fk_django_content_type_id` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); args=[]
2016-05-26 21:56:17,983 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `auth_permission` ADD CONSTRAINT `auth_permission_content_type_id_01ab375a_uniq` UNIQUE (`content_type_id`, `codename`); (params [])
2016-05-26 21:56:18,006 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.017) ALTER TABLE `auth_permission` ADD CONSTRAINT `auth_permission_content_type_id_01ab375a_uniq` UNIQUE (`content_type_id`, `codename`); args=[]
2016-05-26 21:56:18,009 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissions_group_id_b120cbf9_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); (params [])
2016-05-26 21:56:18,028 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.013) ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissions_group_id_b120cbf9_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); args=[]
2016-05-26 21:56:18,032 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissi_permission_id_84c5c92e_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); (params [])
2016-05-26 21:56:18,049 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.012) ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissi_permission_id_84c5c92e_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); args=[]
2016-05-26 21:56:18,055 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissions_group_id_0cd325b0_uniq` UNIQUE (`group_id`, `permission_id`); (params [])
2016-05-26 21:56:18,092 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.033) ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissions_group_id_0cd325b0_uniq` UNIQUE (`group_id`, `permission_id`); args=[]
2016-05-26 21:56:18,096 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_user_id_6a12ed8b_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); (params [])
2016-05-26 21:56:18,114 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.013) ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_user_id_6a12ed8b_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); args=[]
2016-05-26 21:56:18,117 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_group_id_97559544_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); (params [])
2016-05-26 21:56:18,141 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.018) ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_group_id_97559544_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); args=[]
2016-05-26 21:56:18,144 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_user_id_94350c0c_uniq` UNIQUE (`user_id`, `group_id`); (params [])
2016-05-26 21:56:18,165 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.017) ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_user_id_94350c0c_uniq` UNIQUE (`user_id`, `group_id`); args=[]
2016-05-26 21:56:18,168 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_permissions_user_id_a95ead1b_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); (params [])
2016-05-26 21:56:18,190 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.014) ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_permissions_user_id_a95ead1b_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); args=[]
2016-05-26 21:56:18,194 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_perm_permission_id_1fbb5f2c_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); (params [])
2016-05-26 21:56:18,213 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.014) ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_perm_permission_id_1fbb5f2c_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); args=[]
2016-05-26 21:56:18,217 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_permissions_user_id_14a6b632_uniq` UNIQUE (`user_id`, `permission_id`); (params [])
2016-05-26 21:56:18,240 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.018) ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_permissions_user_id_14a6b632_uniq` UNIQUE (`user_id`, `permission_id`); args=[]
2016-05-26 21:56:18,243 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2016-05-26 21:56:18,247 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0001_initial', '2016-05-26 13:56:18'); args=['auth', u'0001_initial', u'2016-05-26 13:56:18']
2016-05-26 21:56:18,270 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- CREATE TABLE `bundle` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `url` longtext NULL, `name` longtext NULL, `like` integer NULL, `scan_times` integer NULL, `datetime` date NULL, `note` longtext NULL, `id_User` integer NULL); (params None)
2016-05-26 21:56:18,279 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.005) CREATE TABLE `bundle` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `url` longtext NULL, `name` longtext NULL, `like` integer NULL, `scan_times` integer NULL, `datetime` date NULL, `note` longtext NULL, `id_User` integer NULL); args=None
2016-05-26 21:56:18,286 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'bundle'; args=[u'bundle']
2016-05-26 21:56:18,299 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- CREATE TABLE `comment` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `content` longtext NULL, `datetime` date NULL, `id_Bundle` integer NULL); (params None)
2016-05-26 21:56:18,309 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.005) CREATE TABLE `comment` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `content` longtext NULL, `datetime` date NULL, `id_Bundle` integer NULL); args=None
2016-05-26 21:56:18,312 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'comment'; args=[u'comment']
2016-05-26 21:56:18,318 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- CREATE TABLE `comment_location` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `Location` longtext NULL, `amount` integer NULL); (params None)
2016-05-26 21:56:18,328 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.005) CREATE TABLE `comment_location` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `Location` longtext NULL, `amount` integer NULL); args=None
2016-05-26 21:56:18,332 [MainThread:9576] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'comment_location'; args=[u'comment_location']
2016-05-26 21:56:18,345 [MainThread:9576] [django.db.backends.schema:101] [schema:execute] [DEBUG]- CREATE TABLE `scan` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `id_Bundle` integer NULL); (params None)
